,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
54707,RIIBGCKMUA7O3,5,17,20,N,Y
55169,RS81KTVAKTJ50,3,59,71,N,Y
55271,R14S5O4VS1BZJH,5,30,30,N,Y
55306,R3M19IVT3A6UC8,1,46,50,N,Y
55426,R36NTYYWBX7WUZ,5,22,22,N,Y
55754,R1658TGZOSZ85H,3,14,20,N,N
56266,R1W0BH18L07WUH,1,19,21,N,Y
56392,R2S40KR3GWH42X,5,19,20,N,Y
56672,R2KC8WNS8DV87S,1,21,23,N,Y
56742,R3S942OUBYNLG6,3,59,61,N,Y
56925,R2WKIF3GWY09SO,1,24,27,N,Y
57439,R35F6U7YTYRT4M,5,25,25,N,Y
57713,R277O2I64N15UK,5,26,27,N,Y
57822,R24XZXRULSEMA6,4,22,22,N,Y
57835,R2377XPDIWEXP1,4,31,32,N,N
57941,R1OMYRR4RK6JSV,5,21,21,N,Y
57958,R3FUA1WB514H79,5,20,23,N,Y
58364,R29SNRTZLH9SAJ,1,43,52,N,N
58921,RQ7ESRIHV3YR7,1,42,49,N,Y
59123,R2HGNSH51M3Y1Z,5,19,20,N,Y
59176,R1KD7MFP2CO3SN,5,24,24,N,Y
59392,R1KLWVGOQKHQZ1,1,32,33,N,Y
59644,RRVV8Y18S9GSP,4,80,83,N,Y
59689,R30TLFCF7YOQ3X,1,24,27,N,Y
59731,RZ4QVNTBWAO09,1,41,45,N,N
60029,R2JIJ8IKY8FXIN,4,45,45,N,Y
60224,R374I723KDYJXR,1,31,33,N,Y
61210,R1CL7OLHX0MWW7,1,18,20,N,Y
61532,R2WLYKFRZJICRJ,5,20,24,N,N
61614,R1P2HJFL59M07M,1,38,39,N,Y
61678,R3ME7SB61GUPOR,1,129,139,N,Y
61726,R2ITAFWFJAFXBZ,5,215,217,N,Y
61815,R228NIHY49L21N,5,24,24,N,Y
62255,R2YKBE9BI1Q1SU,5,66,68,N,Y
62703,RYXZ31SVCR997,5,655,778,N,N
62803,R2C5MHSQZPD58K,4,32,33,N,Y
62937,R29GPBPS0GEWGH,5,58,59,N,Y
63011,RCJ09NGQTW2VM,5,50,55,N,Y
63050,R1IX5QEL2PRUEM,4,23,27,N,Y
63159,R1UQO0FS8LOQHN,5,20,21,N,Y
63499,R3RLGNABTJI6P9,5,27,28,N,N
63966,R2YN02YC71XIC2,1,66,70,N,Y
63969,R2YAUICTW0YZT8,1,19,20,N,Y
63982,R2MKUZG7TPB7YY,4,235,244,N,N
64041,R10198WSHKPDYQ,3,23,23,N,Y
64391,R2H0NISJNR2CJ9,1,72,74,N,Y
64468,R11AFL1TXA7RQD,5,51,53,N,Y
64701,R2WB7W3NMV18MV,5,22,26,N,Y
65090,R3QF5YWHRD86ON,5,64,69,N,N
65731,R2E1L8Y53LPLP6,5,94,95,N,Y
65812,R1WS0K29R02LTA,4,22,24,N,N
66176,RV1KRIMFRNXES,5,41,41,N,Y
66201,R21S2BZGNBFA9G,4,29,31,N,Y
66360,R267METXFDJMWM,4,26,29,N,Y
67054,R1LF7AKMDR8FQ6,1,24,27,N,Y
67151,R341UHOA438MD8,1,23,23,N,Y
67154,R114CVFGMQDTCG,2,113,114,N,Y
67511,RUCKVECOCNBNW,1,31,35,N,Y
67730,R2K4JPF5TBAQNY,5,57,63,N,Y
68737,R1BL9V23M7D7UZ,5,20,22,N,Y
68975,R2GV0BK3O69RSZ,1,10,20,N,N
69082,R394J4ADZZNBI9,5,26,26,N,Y
69609,R17P30AXSBZZEV,5,37,37,N,Y
70177,R8YAMCOC4CHE9,5,80,83,N,Y
70248,R23DD5UYIK6OK2,5,20,20,N,Y
70503,R18KFCHYC6OAP5,4,31,31,N,Y
70875,R2055AK0EEMSB9,5,20,20,N,Y
71131,R22UMIEAPRJCCI,4,22,23,N,Y
71650,RCCZ7Y2C6NX3N,5,28,28,N,Y
72154,R2GDAK1N81EWRC,2,24,24,N,Y
72821,R3AIKXQEP72IO3,5,25,26,N,Y
73261,R37MPZUZCHTG8L,4,47,48,N,Y
73291,RLVAJ5BH1UR3A,1,65,70,N,Y
73419,R1XNVD9RZ5VP7R,3,21,23,N,Y
73512,R2OSIT25INEQEJ,5,18,20,N,Y
74003,R3NJ0L7ZG714YP,5,25,25,N,Y
74819,R1F86J9BIFWBI0,4,38,42,N,N
76155,R1OE5GYL10O59R,5,33,34,N,Y
76266,RS7BJ8C8B94WX,1,164,171,N,Y
76743,R6DR77AEGECY,1,68,73,N,Y
77135,R21856WHWYWMIX,5,20,22,N,Y
77177,RMI7CMCMXIEK8,5,20,20,N,Y
77310,R25U68JI787S5G,4,82,85,N,Y
77610,R2W5WGPGT9X9I2,5,22,22,N,Y
77754,R5JKEFN2P4G7Z,4,31,32,N,Y
77820,R2V6DZMGL9SOM2,5,42,42,N,Y
78708,R3BE4N27UYCUPJ,4,18,20,N,Y
78720,R3CSU42LYQF7PI,5,66,69,N,Y
79047,R23D4MXVFQ6WDE,1,26,26,N,Y
79100,R113G90WRHFRU1,5,46,47,N,N
79449,RTFR5668K89YI,5,38,39,N,Y
79557,R1J7TA27Q3SZOP,5,18,21,N,Y
79829,R22Y1GDHBV89YS,4,141,146,N,Y
80252,R3LZ8AIRNCDH60,5,61,62,N,Y
80331,R2BEXWVCIEXAQO,3,131,133,N,Y
80367,R3FCBMKGOKPL7L,4,170,175,N,Y
80892,R2T2DP9JZGRPFG,1,196,208,N,Y
81059,R2J4O9061D14MN,3,20,23,N,Y
81185,R3DE3IBV11I68M,4,28,29,N,Y
81264,R3G1V2G4IZYQ2A,1,1,50,N,N
81395,R1CO3XW4COEVG1,4,48,50,N,Y
81720,RKH7UD10XEFZ0,5,56,59,N,N
82028,R1KEJHBP7J173J,5,19,20,N,Y
82319,RIKL2OLK6I80F,5,20,23,N,Y
83105,R1ABMK9C2K6UYO,1,32,33,N,Y
83519,R29U505XR7DDB,5,85,87,N,Y
84023,R38LXEGCSZPC5R,5,96,101,N,Y
84652,R3D7TFAO2WW48N,1,28,29,N,Y
84738,R1X8KNA4DPDIW,5,28,30,N,Y
84743,RNQWEFXZRGOYF,1,32,33,N,Y
86436,RNG49AFF56C0L,5,18,21,N,Y
86572,R165LROJVCTA5F,1,73,78,N,N
87634,RATEIGTTTDJV6,1,50,53,N,Y
88050,R2NV88UJYJ5XIR,4,21,24,N,Y
88387,R2JNTRSEJ5AZOH,4,24,26,N,Y
88531,R26XB08KI1MDIT,5,28,30,N,N
88553,R17QYEAZ6LKQH8,5,45,46,N,Y
88556,R3ITFTRSGLJ8LB,5,33,38,N,Y
88723,R39T19F6347OFX,2,132,142,N,N
89374,R1X8KLX5K5H33X,5,20,20,N,N
89388,RK8SZKLQC1DX4,1,11,23,N,Y
89633,R23LLAG1LJ3JIT,1,48,57,N,N
89762,R6Z6D42W2M0L,4,28,30,N,Y
89975,R36O16JJDQNDKL,5,31,33,N,N
90336,R2PVW73JK3L8YT,5,36,39,N,Y
